Price,Close,High,Low,Open,Volume
Ticker,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK
Date,,,,,
2025-08-21,3756.591796875,3774.6958537274095,3702.279626317771,3765.6438253012047,112477700
2025-08-22,3711.331787109375,3774.6959883527056,3711.331787109375,3774.6959883527056,71971500
2025-08-25,3810.90380859375,3865.2159768872475,3774.6956963980847,3783.747724447001,195322200
2025-08-26,3774.69580078125,3819.955942277428,3774.69580078125,3819.955942277428,267465600
2025-08-27,3738.48779296875,3756.5918500775574,3684.1756216423273,3738.48779296875,123874000
2025-08-28,3747.53955078125,3756.591578681688,3720.383467079937,3738.4875228808123,60838200
2025-08-29,3666.0712890625,3729.435484182099,3638.915205439815,3711.331428433642,217276600
2025-09-01,3602.707275390625,3629.8633603810067,3494.0829354290986,3557.447133739989,234206100
2025-09-02,3584.60302734375,3666.071277965199,3584.60302734375,3602.7070830374055,111856000
2025-09-03,3647.96728515625,3647.96728515625,3575.551061133297,3638.915257153381,112507500
2025-09-04,3620.811279296875,3629.863307495117,3584.6031665039063,3602.7072229003907,87402700
2025-09-08,3530.291015625,3684.175495793269,3521.2389873798074,3684.175495793269,143993900
2025-09-09,3430.71875,3521.239033641161,3394.5106365435354,3503.134976912929,327167200
2025-09-10,3512.18701171875,3521.239040099468,3457.8748414344395,3457.8748414344395,117680500
2025-09-11,3693.2275390625,3729.435652190564,3602.707256242341,3620.8113128063724,281910400
2025-09-12,3783.747802734375,3792.7998309705813,3720.383605080928,3783.747802734375,235383800
2025-09-15,3747.53955078125,3819.955773984753,3729.4354949803746,3801.851718183877,157482000
2025-09-16,3738.48779296875,3774.695907186365,3693.2276501967312,3765.643878631961,167511900
2025-09-17,3819.9560546875,3819.9560546875,3729.435769031398,3765.643883293839,245154800
2025-09-18,3847.112060546875,3865.2161173023896,3810.9039470358457,3865.2161173023896,332670300
2025-09-19,3847.112060546875,3847.112060546875,3783.7478619025737,3829.0080037913604,211373200
2025-09-22,3765.643798828125,3847.1120540912334,3720.3836570152866,3847.1120540912334,157592800
2025-09-23,3747.53955078125,3774.6956344825635,3720.383467079937,3729.4354949803746,110771700
2025-09-24,3774.69580078125,3774.69580078125,3711.331602686601,3747.539715883543,124591600
2025-09-25,3684.175537109375,3774.695820576436,3666.071480415963,3774.695820576436,129656800
2025-09-26,3657.01953125,3693.227645420792,3620.811417079208,3666.071559792698,146229200
2025-09-29,3602.707275390625,3657.0194453713884,3584.603218730371,3657.0194453713884,126611800
